Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/NES/NES Manuals/10-Yard Fight.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2F10-Yard%20Fight.pdf,952454,a484dc1acf517f62907ac04b802d2d39,,,10-Yard Fight.pdf
docs/NES/NES Manuals/1942.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2F1942.pdf,817231,e804058aba3ab6e68e77ed694c84877a,,,1942.pdf
docs/NES/NES Manuals/1943 - The Battle of Midway.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2F1943%20-%20The%20Battle%20of%20Midway.pdf,756842,2ddcc529ca2a570afc3b6bbd4e115fd0,,,1943 - The Battle of Midway.pdf
docs/NES/NES Manuals/3-D WorldRunner.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2F3-D%20WorldRunner.pdf,314515,dff85bfdf65a084e61f921747d858a5d,,,3-D WorldRunner.pdf
docs/NES/NES Manuals/720 Degrees.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2F720%20Degrees.pdf,994719,dd6f356239d0bf7ea0ac99e4da413d0e,,,720 Degrees.pdf
docs/NES/NES Manuals/8 Eyes.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2F8%20Eyes.pdf,1429718,714134678364cb937890b25f676ab7ea,,,8 Eyes.pdf
docs/NES/NES Manuals/Abadox - The Deadly Inner War.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAbadox%20-%20The%20Deadly%20Inner%20War.pdf,2573821,ea0d680502f175f8cb1b7371e1ea4145,,,Abadox - The Deadly Inner War.pdf
docs/NES/NES Manuals/Action 52.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAction%2052.pdf,3285836,9a20d35c63904f40be91006943b1de20,,,Action 52.pdf
docs/NES/NES Manuals/Adam & Eve.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdam%20%26%20Eve.pdf,140215,ea4c7dcb59bf2786fce4c4f7e679f03d,,,Adam & Eve.pdf
"docs/NES/NES Manuals/Addams Family, The - Pugsley_s Scavenger Hunt.pdf",https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAddams%20Family%2C%20The%20-%20Pugsley_s%20Scavenger%20Hunt.pdf,1002528,5e25a19d70b617eb28c5e5503dc10b53,,,"Addams Family, The - Pugsley_s Scavenger Hunt.pdf"
"docs/NES/NES Manuals/Addams Family, The .pdf",https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAddams%20Family%2C%20The%20.pdf,974480,b93218364d094bedaa6110cfc13189e8,,,"Addams Family, The .pdf"
docs/NES/NES Manuals/Advanced Dungeons & Dragons - DragonStrike.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20DragonStrike.pdf,852874,efdf720ef67704202d0342eda82b497f,,,Advanced Dungeons & Dragons - DragonStrike.pdf
docs/NES/NES Manuals/Advanced Dungeons & Dragons - Heroes of the Lance.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20Heroes%20of%20the%20Lance.pdf,1765299,6e7e8c0681657e1317df21e8794bc7a5,,,Advanced Dungeons & Dragons - Heroes of the Lance.pdf
docs/NES/NES Manuals/Advanced Dungeons & Dragons - Hillsfar.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20Hillsfar.pdf,787467,b847123e771de51eab54a3482e6497c4,,,Advanced Dungeons & Dragons - Hillsfar.pdf
docs/NES/NES Manuals/Advanced Dungeons & Dragons - Pool of Radiance.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20Pool%20of%20Radiance.pdf,1993183,4b114b98f291b711310d8f6153cb4c37,,,Advanced Dungeons & Dragons - Pool of Radiance.pdf
docs/NES/NES Manuals/Adventure Island .pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventure%20Island%20.pdf,855793,591382e3bdb87999074789012fe9ee47,,,Adventure Island .pdf
docs/NES/NES Manuals/Adventure Island 3.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventure%20Island%203.pdf,732357,6bd3c189ac8ec62659ae2381cbbce637,,,Adventure Island 3.pdf
docs/NES/NES Manuals/Adventure Island II.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventure%20Island%20II.pdf,689982,0ae532fd3cb00779e8859dd77943e78a,,,Adventure Island II.pdf
docs/NES/NES Manuals/Adventures in the Magic Kingdom.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventures%20in%20the%20Magic%20Kingdom.pdf,575624,d076ddcb2fad46de4e3762adacbdd93f,,,Adventures in the Magic Kingdom.pdf
"docs/NES/NES Manuals/Adventures of Bayou Billy, The.pdf",https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventures%20of%20Bayou%20Billy%2C%20The.pdf,850768,7d0f39d5919e152418aeaabe3ba760b2,,,"Adventures of Bayou Billy, The.pdf"
"docs/NES/NES Manuals/Adventures of Captain Comic, The.pdf",https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventures%20of%20Captain%20Comic%2C%20The.pdf,3269363,77482fd07db64b2b9689c727db9d952a,,,"Adventures of Captain Comic, The.pdf"
docs/NES/NES Manuals/Adventures of Dino Riki.pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventures%20of%20Dino%20Riki.pdf,590521,9e6b5c839d632e2b94bf5172308402ac,,,Adventures of Dino Riki.pdf
"docs/NES/NES Manuals/Adventures of Gilligan_s Island, The.pdf",https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventures%20of%20Gilligan_s%20Island%2C%20The.pdf,521716,26ba29f3228776f5bfadd90880c9cdd0,,,"Adventures of Gilligan_s Island, The.pdf"
docs/NES/NES Manuals/Adventures of Lolo .pdf,https://archive.org/download/mister-manuals/1985_Nintendo%20Entertainment%20System.zip/1985_Nintendo%20Entertainment%20System%2FAdventures%20of%20Lolo%20.pdf,721091,ddb26f462647e41fdce63d70ee8d3a75,,,Adventures of Lolo .pdf
